Date,Juilin Date,Month,Day,Year,row,Week,AM Feed,AM Transparency,PM Feed,PM Transparency,Stocked,Spring Temp (F),Max Spring (F),Min Spring (F),Daily turbi mean,Max daily turbi,Max air temp,Min air temp,Dec Rain,Calmar Rain,Year class,Strain,Lot,Sub Lot,Raceway,# fish,Morts,Sub Lot % morts,Lot % mort,Strain % mort,Comments
3/5/2022,44625,3,5,2022,429,10,X,7.43,X,7.63,,43.5,44.1,41.0,197.9,1083.2,49,35,0.85,0.86,2021,Irwin X Arlee,IAC2,IAC2C2C2C2,C2,8238,,0.0%,0.0%,0.0%,
3/5/2022,44625,3,5,2022,429,10,X,7.43,X,7.63,,43.5,44.1,41.0,197.9,1083.2,49,35,0.85,0.86,2021,Arlee,ARA2,ARA2&A7C3,C3,9156,,0.0%,0.0%,0.0%,
3/5/2022,44625,3,5,2022,429,10,X,7.43,X,7.63,,43.5,44.1,41.0,197.9,1083.2,49,35,0.85,0.86,2021,Irwin X Arlee,IAC4,IAC4C4C4,C4,10266,,0.0%,0.0%,0.0%,
3/5/2022,44625,3,5,2022,429,10,X,7.43,X,7.63,,43.5,44.1,41.0,197.9,1083.2,49,35,0.85,0.86,2021,Irwin X Arlee,IAC4,IAC4C4C5,C5,10608,,0.0%,0.0%,0.0%,
3/5/2022,44625,3,5,2022,429,10,X,7.43,X,7.63,,43.5,44.1,41.0,197.9,1083.2,49,35,0.85,0.86,2021,Mix,Mix,ARC8&B6C8,C8,5883,,0.0%,0.0%,0.0%,
3/5/2022,44625,3,5,2022,429,10,X,7.43,X,7.63,,43.5,44.1,41.0,197.9,1083.2,49,35,0.85,0.86,VAR,VAR,Broods,BroodsP2P1,P1,220,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Irwin X Arlee,IAA1,IAA1A1,A1,12457,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Arlee,ARA2,ARA2A2,A2,7772,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STA3,STA43,A3,10570,,0.0%,0.0%,0.0%,Combine 2021 (lower) with new 2022 (upper)
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STA4,STA4A4,A4,9082,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Geno,GNA5,GNA5,A5,9822,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Shasta,STA4,STA4A6,A6,8732,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Arlee,ARA7,ARA7A7,A7,10266,,0.0%,0.0%,0.0%,
12/16/2022,44911,12,16,2022,715,51,X,16.60,X,13.14,,46.3,46.6,46.2,15.1,23.0,31,21,0.06,0.07,2022,Arlee,ARA7,ARA7A8,A8,8776,,0.0%,0.0%,0.0%,
